text	label
さんぽさーーん！御祝いの言葉嬉しいです、ありがとうございます！ これからもイベントとか内田さんのライブとかお会いすることあればどうぞよろしくお願いします…！！	1
@oh3naniwa3  ありがとう！！！ うるさくてごめんよ これからも仲良くしてね	5
@syo1955endo おはようございます洗濯日和で～す今日はお家の事頑張ります。	0
@beast_syaga 同じく	1
一応ｗｗｗｗｗｗｗｗｗｗ  でも、ちーちゃんキモイもん大好きやん？ 仲良くしてよ	1
初風邪。 こう見えて体弱い系女子。	2
全然勉強できてないのに4時に布団入ってまだねれないんだけど	2
ラフが汚すぎてペン入れ進まん	1
12月突入‼︎慣れない歌とダンスの練習で眠れやしねぇ…	1
スカパー!契約してないから横浜の試合観れないでは内科 (ダジャレぶっこむな)	3
これからは吉祥寺で飲む	3
待って今んとこわたしのしゅきだけの一方通行	2
歯医者が終わった。次回は被せる。一万掛かるって。	1
お腹減ったなぁ。あ、昼たべてないや	5
慎吾おはよう 連動になってなかったけど、見てきたよ 御家族の笑顔が本当に素敵 記事読んだらデフリンピックの事も分かるかな？ 慎吾のおかげで知らなかった事を知れる 明日、絶対 #朝日新聞 買うね 今日の #サンスポ はgetしたよ	0
えっ！(笑)恥ずかしい(笑) また絡もうね絡んできてね〜〜♡ わたしもいっきまーす	2
おはよー( ^^)人(^^ ) ちょっと凹んだけど頑張るよ 夜、楽しみだね〜暴れてください	0
もーあさから。 生理痛がひどい。 モー嫌だわさ。	3
さくちゃーん！！ありがとう〜〜 朝晩寒いのとイベの疲れかも…ゆっくり休めるようにするねー！本当ありがとうー！！	4
おぉぉぉぉすごいですねぇ キチンと正装して 今井遥さんも一緒って、これまたスゴイ 訪問お疲れ様でした #MintZ九州 #東京府中市	5
@Peteybird315 @C9_Goofy  電車で巨人ファンのサラリーマン軍団に試合結果聞かれましたごめんな〜…って言われました…ヽ(｀Д´#)ﾉ ﾑｷｰ!!	3
@maturika_miyuki おはようございます 走り出したら小雨でした 今の季節 小雨も気持ち良いです	0
リビングにいると風呂の戸が勝手に開閉してて怖い	4
@yuheyan820 全部か〜ありがと、こころしとく	5
良幸くん可愛い何かいつものヤスじゃない	5
@__K__1018  僕も最近同じような事をよく思います。知っていて損はないと思いますし、知っている事で共通の話題になり、そこから色々派生する場合もあると実感してます	0
花丸安定くん「僕の目を見て！ｷﾘｯ」 ※フラグです	3
@takeshi_0228 残念…はずれです 8/28(火)まで一投稿に付き一回チャレンジできるよ マックフルーリー 白いブラックサンダーが8/29(水)より全国で販売開始絶対食べてね pic.twitter.com/O1h3WSeHcH	1
好きな時に好きな仲間と好きなことをする  納得。	0
やと思うな〜 ほんまにな‼︎	3
@s2pma なにすた	4
フル単はおもんな	2
@kaaazuyas2 てれてれてってー	3
人山生誕じゃないとかきれそー 今年中にやらないと98が pic.twitter.com/ZczDvcbTUl	3
@pipi_nibu はじめまして‼︎にくおと申します‼︎遅くなりましたがイナイレタグの反応ありがとうございます 誤反応でなければ繋がりませんか？	0
腹が痛～～～い	4
@meg12kaz29  おはようございますｯ お気に入りを ありがとうございます。  トマトたくさん収穫できましたね～おいしそうです	0
@askryrnk うわぁ早起きだね！元気りんりんぎゃんばりんこ	5
そのくせレフィア超絶引けないし	3
@cruelcruel495  あなたなんなの。←  いや全部じゃなきゃ嫌だ	3
乃木坂ちゃん、おはようございます(*'ω'*) こっちは風が強いだけで雨降ってはないのでまだマシか………… 今日もよろしくお願いします(*'ω'*)	4
@pianissimo_14 動画、見ました！歌うとノリが良くてスラッと歌えるけど、ピアノで弾くところ見ると超難しそう ジョンからのメッセージ嬉しいですね	5
みーが嘘つく	3
ねえ、まじなんなの	3
確かに頭湧いてるなww なんでもかんでもラブライブのせいにするなって話	3
ずるさんおはまる〜(๑°꒵°๑)･*♡  風強いね〜 気をつけてね	5
次男君こんな時間から昼寝したまぁやっと静かな時間過ごせるから今のうちに夕飯作ってしまおう今日は時間に余裕のある夜を過ごせそうだ	5
びびったー 勉強してたら急に部屋の電気、パッ！ って消えて一瞬心臓とまるかと思った！ このタイミングでこの時間に、電球切れるとかほんまにやめてほしい！ なんかムダに目覚めたし	4
